CSY word (Lat. orth.)	CSY word (Cyr. orth.)	Eng. gloss 1	Russ. gloss 1	ex'ples, etym, etc.	Eng. gloss 2	Eng. gloss 3	Russ. gloss 2	Russ. gloss 3	CSY word (Cyr.) num. eq.	Russ. gloss 1 num. eq.	Russ. gloss 2 num. eq.	Russ. gloss 3 num. eq.	queries, etc.	Eng. gloss 4	Russ. gloss 4	Russ. gloss 4 num. eq.	combined English gloss	combined Russian gloss	PE (PY) source	symantic code	Sib. source code	derived forms	postbase head form	postbase alphabetization form	alphabetization field B	CSY word (Cyrillic)
-ngwaagh-1				see ~–(ghw/ngw/w)aagh-1													to diligently V; to thoroughly V; to V at the proper time						~–(ghw/ngw/w)aagh-1	ngwagh1	ngwxgh1	
-ngwaagh-2				see ~–(ghw/ngw/w)aagh-2													to V in a non-serious way; to pretend to V; to V for something other than the usual purpose; to play at V-ing						~–(ghw/ngw/w)aagh-2	ngwagh2	ngwxgh2	
-ngwaaq				see ~–(ghw/ngw/w)aaq													imitation N; artificial N; model N; toy N; pretend N; little bit of N; thing like N						~–(ghw/ngw/w)aaq	ngwaq	ngwxq	
@~f+ni-1	-yb-¡	say that one is V-ing or being V-ed		this is a “compound verbal” postbase; taginii ‘he says he (another) came over’; taginiiq ‘he says he (himself came over’ (from tagi- ‘to come over’); kuuvnii ‘he says it spilled’ (from kuuve- ‘to spill’); laalighhnii ‘he says he (another person) is visiting’ (from laalighte- ‘to visit’); igataghniiq ‘he says he (himself) is hungry’, igtataghniiten ‘he says you are hungry’ (from igatagh- ‘to be hungry’); Kii, akugaaq ungipaatngwaaghamken aghnaghllagmun puughnnaqniluten.  ‘Golly, yesterday I certainly told you (saying) that you would be deceived by the big woman.’ (from puughhnaqe- ‘to be going to deceive’) (AYUM. UNGIP. II:11); Takukestaghngaaghmigu sumeghtaghaamalghii uyavannaqniluku. ‘While he was going to it he thought (thinking) that it would be too far.’ (from uyavannaqe- ‘to be going to be far’) (UNGIPAGHAGH. 78)	think that one is V-ing or being V-ed												to say that one is V-ing or being V-ed; to think that one is V-ing or being V-ed		pb PE ni-				@~f+ni-1	ni1	ni1	-ни-1
+ni2	-yb™	smell of N		qugaagni ‘sour smell’ (from qugaak ‘sourness’); uuyni ‘body odor’ (from an unidentified base); puyani ‘smell of rancid oil’ (from puya ‘rancid oil’); leghni ‘flatulent smell’ (from leq ‘flatus’)	odor of N												the smell of N; the odor of N; the taste of N		pb PE nit- and cu!nit- and pa!nit-				+ni2	ni2	ni2	-ни2
+niigh-	-y74-	hunt for N or by means of V-ing		used especially (but not exclusively) with bases concerning subsistence activities; manigniightuq ‘he's looking for eggs’ (from manik ‘egg’);  qawaagniightuq ‘he's hunting birds’ (from qawaak ‘bird’); ayveghniightuq ‘he's hunting walrus’ (from ayveq ‘walrus’); angyaghniightuq ‘he's hunting with a boat, using a boat to hunt, or asking for a boat’ (from angyaq ‘boat’ or angyagh- ‘to use a boat’); piyaaniightuq ‘he's hunting on foot’ (from piyaa- ‘to walk’); unangniightuq ‘he's hunting seals or other sea mammals’ (from unange- ‘to catch seals or other sea mammals’); guunniightuq ‘he's shooting at game’ (from guute- ‘to shoot’); naapniightuq ‘he's trapping’ (from naapte- ‘to catch with a trap’); mughunniightuq ‘he went hunting on the ice’ (from mughute- ‘to hunt on the ice’); also, anagniightuq ‘he’s on the run’ (from anag- ‘to flee, escape’); ugighhniightut ‘they are snarling’ (from ugighhe- ‘to fight (of dogs)’; penniighta ‘shepherd’ (in Biblical translation; from penniiq ‘sheep’)	search for N	ask for N								endeavor to V or to obtain N			to hunt for N; to hunt by means of V-ing; to search for N; to ask for N; to endeavor to V or to obtain N; to carry out the process of V-ing		pb PE ni(C)a3-				+niigh-	nigh	nxgh	-нӣӷ-
~f+niq	-yb2	good to V (thing that is ~)		esghaghniq ‘thing that is eye-catching or attractive’ (from esghagh- ‘to see’)													thing that is good to V		pb PE n(n)i3-				~f+niq	niq	niq	-ниқ
@~f+niite-	-y7ns-	not cause one to V		negative of -nagh- (q.v.); nalluniituq ‘it is easy to know, perceive’ (from nallu- ‘to not know’; cf. nallunaghtuq ‘it is hard to know, perceive’); yakughniituq ‘it is not dangerous’ (from emotional root yakugh-, as in yakughnagh- ‘to be dangerous’)													to not cause one to V		< -nagh-(ng)ite-				@~f+niite-	nite	nxte	-нӣты-
+nite-1	-ybns-¡	taste of N		taghyughnituq ‘it tastes salty’ (from taghyuq ‘salt’); uqugnituq ‘it tastes moldy’ (from uquk ‘mold’)													to taste of N		pb PE nit- and cu!nit- and pa!nit-				+nite-1	nite1	nite1	-ниты-1
%nite-2	-ybns-	in (be ~ N)		a contraction of the non-singular or possessed singular localis ending %ni and the archaic verb base ete-; angyanitut ‘they are in the boats’, angyaanituq ‘it is in his boat’, angyamnituq ‘it is in my boat’ (from angyaq ‘boat’); cf. -mete-2, -nte-    	at (be ~ N)	be at or in N											to be at N; to be in N						%nite-2	nite2	nite2	-ниты-
-nkuk / -nkut				see %(e)nkuk / %(e)nkut													N and partner; N and associate(s); N and family						%(e)nkuk / %(e)nkut	nkuk	nkuk	
@–nqegsagh-	-y2s[cf4-	completely V		ulimanqegsaghaa ‘he redid it correctly’ (from ulima- ‘to make’)	correctly V	thoroughly V											to V completely, correctly, thoroughly		< -nqegte-yagh-				@–nqegsagh-	nqegsagh	nqegsagh	-нқыхсаӷ-
@–nqegsi-	-y2s[cb-	good with respect to V-ing (be ~)		yugunqegsiiq ‘he is healthy’ (from yugu- ‘to live’)													to be good with respect to V-ing						@–nqegsi-	nqegsi-	nqegsi-	-нқыхси-
@–nqegtaq	-y2s[nf2	easily (one that V-s ~)		uzivenqegtaq ‘one that revolves readily’ (from uzive- ‘to revolve’); qelpenqegtaq ‘one that opens easily’ (from qelpegh- ‘to open’); yugunqegtaq ‘healthy person’ (from yugu- ‘to be a person, to live’)	readily (one that V-s ~)												one that V-s easily; one that V-s readily		< -nqegte-(g)aq				@–nqegtaq	nqegtaq	nqegtaq	-нқыхтақ
@–nqegte-	-y2s[ns-	easily V		qelpenqegtuq ‘it opens easily’ (from qelpegh- ‘to open’); yugunqegtuq ‘he is healthy’ (from yugu- ‘to be a person, to live’)	readily V												to V easily; to V readily		pb PE nqi!-1 and nqi!ca(C)a3-				@–nqegte-	nqegte	nqegte	-нқыхты-
@–nqigte-	-y2b[ns-	again V		taginqigtuq ‘he came over again’ (from tagi- ‘to come over’); apenqigtuq ‘he repeated what he said’ (from apegh- ‘to tell or confess’); nekeggneqigtaa ‘he restored it, but it back as it belonged’ (from nekegte- ‘to put in the appropriate place’)													to V again		pb PE nqi!-2				@–nqigte-	nqigte	nqigte	-нқихты-
+nte-	-yns-	at (be ~ N)		a contraction of the demonstrative adverb localis ending +ni and the archaic verb base ete-; whaantuq ‘it is right here’ (from wha(ni) ‘here’ (with initial vowel lengthening)); pikantuq ‘it is up above (from pika(ni) ‘up above’); cf. -mete-2, -nite-2	in (be ~ N)	be at or in N											to be at N; to be in N						+nte-	nte	nte	-нты-
																	P							p	p	
±pag-	-gfu-	big way (V in a ~)		marginally productive; esghapag- ‘to watch, to look at’ (lexicalized; from esghagh- ‘to see’); napaghpagtuq ‘his hopes rose’ (from root napagh- (root) ‘erect’); tupagpagtuq ‘he got quite startled’ (from tupag- ‘to get startled’); aqfaatepagtuq ‘he ran hard’ (from aqfaate- ‘to run’); aghveghapagtuq ‘he killed lots of walrus’ (from ayveghagh- ‘to kill walrus’); ggiistutepagtuq ‘he clenched his teeth hard’ (from ggiistute- ‘to clench one's teeth’); qavaghpagtuq ‘he slept for a long time’ (from qavagh- ‘to sleep’); neghepagtuq ‘he ate a lot’ (from negh<e>- ‘to eat’); qepghaghpagtuq ‘he worked hard’ (from qepghagh- ‘to work’); tenglugpagaa ‘he punched him hard’ (from tenglug- ‘to punch’); cf. -vag-, -ghpak	intensively V	excessively V											to V in a big way; to V intensively; to V excessively		pb PE va!-				±pag-	pag	pag	-паг-
+pagaatagh-/~sfvagaatagh-	-gfu6nf4- -dfu6nf4-	repeatedly V hard		+pagaatagh- with consonant-ending bases; ~sfvagaatagh- with vowel-ending bases (a resulting tv becomes p); used with verbs of hitting, kicking, striking, throwing, etc.; kaksagpagaataghaa ‘he whipped him repeatedly’ (from kaksagte- ‘to whip’); siingvagaataghaa ‘he pushed him repeatedly’ (from siinge- ‘to push’); ketngigpagaataghaa ‘he kicked it repeatedly with the heel’ (from ketngig- ‘to kick with the heel’); Aantani neghniimsunemta milughpagaataghaqaghpesikut. ‘Whenever we  happen to be seeking to eat at the dump, you repeatedly throw stuff at us.’ (from milugh- ‘to throw things at’) (UNGIPAGHAGH. 109)													to V repeatedly and hard						+pagaatagh-/~sfvagaatagh-	pagatagh	pagatagh	-пагāтаӷ- -вагāтаӷ-
–pagigate-	-gfubufns-	infrequently V		qepghapagigatuq ‘he seldom works’ (from qepghagh- ‘to work’); Suflugwaq llangaqa atuqepagigalkangat. ‘It seems that they seldom used rifles.’ (from atuqe- ‘to use (it)’) (SIVUQ. NANGAGH. 3:28)	seldom V												to V infrequently; to seldom V		< -pag-(ng)igate-    				–pagigate-	pagigate	pagigate	-пагигаты-
–pagite-	-gfubns-	not much N or V-ness		tengegkayupagituq ‘there aren't many airplanes’ (from tengegkayuk ‘airplane’); nighupagituq ‘it is dim, dull’ (from nighug- ‘to be bright’); ; … entaqun talwa taghnughhapagitukut Agaankuni. ‘… maybe they had but few children still in the Agaq family.’ (from taghnughhaq ‘child’) (SIVUQ. NANGAGH. 3:40); … ayumiqullghem ilangani kaviipagilluni, ilangakun kaviighyagllagaqluni. ‘… some years there were few foxes, and some years there were many foxes.’ (from kaviiq ‘fox’) (SIVUQ. NANGAGH. 2:174)	few (have ~ N)												for there not to be much N or V-ness; to have few N		< -pag-(ng)ite-				–pagite-	pagite	pagite	-пагиты-
+pagnite-	-gfuybns-	smell like N		sapagnituq ‘it smells like something’ (from sa ‘thing, something’); anaghpagnituq ‘it smells of excrement’ (from anaq ‘excrement’); uqugpagnituq ‘it smells moldy’ (from uquk ‘mold’)	taste like N												to smell like N; to taste like N		< -ghpak-nite-1				+pagnite-	pagnite	pagnite	-пагниты-
±pagunghite-	-gfuey4bns-	not be sufficiently V		used with descriptive verb bases; Qavaamalghii elngaatall asivaqun akugaaghhaaneng qavapagunghilnguq. ‘The one that didn’t have enough sleep has slept very soundly since yesterday evening.’ (from qavagh- ‘to sleep’) (AYUM. UNGIP. II:30)	insufficiently V												to not be sufficiently V		< -pag-?-nghite-				±pagunghite-	pagunghite	pagunghite	-пагунӷиты-
+palluq / ~fvalluq	-gfk]/2 -dfk]/2	one with big N		+palluq with consonant-ending bases; ~fvalluq with vowel-ending bases; examples: sighuneghpalluq one with big antlers’ (from sighuneq ‘antlers’); meghpalluq ‘mosly water, one with lots of water’ (from meq ‘water’); tuumvalluq ‘one with big tracks’ (from tumae ‘track’); sigutfalluq ‘one with big ears’ (from sigun or sigutae ‘ear’); sunavalluq ‘mostly soil’ (from suna ‘soil’); akmaneghpalluq ‘camel’ (neologism  sometimes used in Bible translation; from akmaneq ‘back load’)	mostly N	big (one with ~ N)											one with big N; mostly N		< -pag-?; pb PE va@u!(-)				+palluq / ~fvalluq	palluq	palluq	-пальюқ -вальюқ
±panghite-	-gfy4bns-	insufficiently V		neghepanghituq ‘he didn't eat enough’ (from negh<e>- ‘to eat’); qavapanghituq ‘he didn't sleep enough’ (from qavagh- ‘to sleep’); qepghapanghituq ‘he didn't work enough’ (from qepghagh- ‘to work’)	not V enough												to insufficiently V; to not V enough		< -pag-nghite-				±panghite-	panghite	panghite	-панӷиты-
–penaaq	-gsy62	homely N		yupenaaq ‘shabby person’ (from yu<u>k ‘person’); angyapenaaq ‘shabby boat’ (from angyaq ‘boat’)	shabby N	dilapidated N								ugly N			homely N; shabby N; dilapidated N; ugly N						–penaaq	penaq	penxq	-пынāқ
–peraq	-gshf2	small N		nasaperaq ‘hat’ (lexicalized, from nasaq ‘parka hood’); atkuperaq ‘small or makeshift parka’ (from atkuk ‘parka’)	makeshift N	not quite correct N											small N; makeshift N; not quite correct N						–peraq	peraq	peraq	-пырақ
–perewaaq	-gshs162	all N or V		unaghsiperewaaq ‘all wood’ (from unaghsiq ‘wood’); savikenghaaperewaaq ‘all metal’ (from savikenghaaq ‘metal’) ; sikuperewaaq ‘all ice’ (from siku ‘ice’); Qateperewaaghmeng Aatkalek. ‘The One with an all White Garment.’ (from qategh- ‘to be white’) (book title; see Slwooko 1977a)	only N or V	totally N or V											all, only or totally N or V						–perewaaq	perewaq	perewxq	-пырыӱāқ
–peruk	-gsher	like (one ~ N)		angqaperuk ‘round thing, circle, sphere’ (from root angqaq as in aangqaq ‘ball’)													one like N						–peruk	peruk	peruk	-пырук
–pestaagh-	-gscn64-	truly V		sukatepestaaghluku ‘while that (other) one was truly going fast’													to truly V		< -pik-(ke)staaq				–pestaagh-	pestagh	pestxgh	-пыстāӷ-
–pestaaq	-gscn62	truly N		qikmipestaaq ‘truly a dog; a dog without a doubt’ (from qikmiq ‘dog’); ipapestaaq ‘the absolute truth; most certainly the truth’ (from ipa ‘the truth’); uglapestaaghllak ‘really a lot’ (from uglaq ‘lots’, with postbase -ghllak ‘big’); Qemimeng tevyalghiimi esghaghii piluguget seghlepestaaghet. ‘When he crossed over the hill he saw lots of very bad garments.’ (from seghleq ‘bad thing’) (UNGIPAGHAGH. 67); Elngaatall taana apeghtughista qepghaqaghllapestaaghuyaghtuq. ‘That teacher truly had many duties.’ (from qepghaqaghllak ‘lots of work’) (SIVUQ. NANGAGH. 2:8)													truly N		< -pik-(ke)staaq				–pestaaq	pestaq	pestxq	-пыстāқ
-pete-				see +fte-/+pete-													to evidently V or have V-ed						+fte-/+pete-	pete	pete	
+pigaq*	-gvuf2	foremost N		at most marginally productive; kingulighpigaq ‘the very last one’ (from kinguliq ‘follower’); inglupigaq ‘one side only’ (from inglu ‘opposite’); nuyeklighpigaq ‘oldest brother’ (from nuyekliq ‘older brother’); qayeghpigaq ‘peak of mountain’ (from qayae ‘(top) surface’); also apparently in: nukalpigaq ‘man in his prime, good provider’ (from an unidentified root)													foremost N						+pigaq	pigaq	pigaq	-пмгақ
–pigesnagh-	-gbuscy]f4-	vain (V in ~)		tagipigesnaghtuq ‘he came for naught; he finally came’ (from tagi- ‘to come’); itepigesnaghtuq ‘he entered in vain; he finally entered’ (from itegh- ‘to enter’); kaatepigesnaghtuq ‘he came for no purpose’ (from kaate- ‘to arrive’)	naught (V for ~)	finally V											to V in vain; to V for naught; to finally V						–pigesnagh-	pigesnagh	pigesnagh	-пигысньаӷ-
–pigte-	-gb[ns-	very (be ~ V)		igatapigtunga ‘I am very hungry’ (from igatagh- ‘to be hungry’); natetepigtuq ‘it is odd’ (from natete- ‘to be how?; to be somehow (different)’); alingepigtuq ‘he is very scared’ (from alinge- ‘to be scared’); Igaghyaq uglaapigteftuuq. ‘There were very many students.’ (from uglaa- ‘to be a large quantity’) (SIVUQ. NANGAGH. 2:210); Unaami unaangupiglluku teghtughluta … ‘We woke up very early in the morning …’ (from unaangu- ‘for it to be morning’) (SIVUQ. NANGAGH. 3:140)													to be very V		pb PE -pi!(-)				–pigte-	pigte	pigte	-пихты-
–pigu-	-hbue-	very (be ~ much an N)		seghlepiguuq ‘it is very bad’ (from seghleq ‘bad thing’); peghqinepiguuq ‘he is very wise’ (from peghqineq ‘wise one’)													to be very much an N		< -pik-(ng)u-				–pigu-	pigu	pigu	-ригу-
–pik	-gbr	real N		nunapik ‘real land’ (from nuna ‘land’); neqepik ‘real food’ (from neqae ‘food’); ggutepik ‘real tooth’ (from gguta ‘tooth’); qayapik ‘authentic, old-fashioned kayak’ (from qayaq ‘kayak’); angyapik ‘skin boat’ (lexicalized, from angyaq ‘boat’); atkupik ‘authentic parka’ (from atkuk ‘parka’); atepik ‘real name’ (from ateq ‘name’); kaviipik ‘red fox’ (Vulpes fulva) (lexicalized, from kaviiq ‘(white) fox’ (Alopex lagopus)); qutepik ‘mainland; safe, dry land; Chukotka’ (from quta ‘land (seen from the sea)’); ‘Yupik; St. Lawrence Is. or Chukotkan Eskimo’ (from yu<u>k ‘person)	genuine N	authentic N								old-fashioned N			real N; genuine N; authentic N; old-fashioned N		pb PE -pi!(-)				–pik	pik	pik	-пик
																	Q							q	q	
-qaa-				see @~–(g)kaa-													to have V-ed; to have been V-ed.		< -(g)kaq1-(ng)u-				@~–(g)kaa-	qa	qx	
-qae				see @~–(g)kae									disentangle the participial verb use of this morpheme with that of -kaq (q.v.)				the one(s) possessor is V-ing						@~–(g)kae	qa	qa	
~–qagh-	-2f4-	please V		often used with optative endings; atuqaghhu ‘please use it’ (from atugh- ‘to use’);  iitqaa ‘please come in’ (from itegh- ‘to come in’); aavkaghtuq ‘it burst’ (from aveg- ‘to divide in half’)	just V	suddenly V							used with other moods? less specific meanings (check the other two given here)?	briefly V			please V; just V; suddenly V; briefly		pb PE k(k)a3- and q(q)a3-				~–qagh-	qagh	qagh	-қаӷ-
~–qaghaqe-	-2f4f2s-	intermittently V		used with subordinative endings; nuupniqaghaqluni ‘dying down now and then’ (from nuupnigh- ‘for wind to die down’); Amenam Ayngaghlingaawen aqumluni talluluku ivaluni piighhaa nuvagraqaghaqluku. ‘Ayngaghlingaawen sat down and started splitting the sinew, but every now and then whe would moisten it with saliva.’ (from nuvagragh- ‘to moisten with saliva’) (SIVUQ. NANGAGH. 3:208)	now and then (V ~)												to intermittently V; to V now and then		< -qagh-(g)aqe-				~–qaghaqe-	qaghaqe	qaghaqe	-қаӷақы-
-qaghqaq				see ~–kaghqaq													something to be used as N; future N						~–kaghqaq	qaghqaq	qaghqaq	
~–qaghtagh-	-2f5nf4-	continuously V with back and forth or up and down movement		tuutqaghtaghaa ‘he stepped up and down on it’ (from tuute- ‘to step (on)’)	back and forth (continuously V with ~ movement)	up and down (continuously V with ~ movement)											to continuously V with back and forth or up and down movement						~–qaghtagh-	qaghtagh	qaghtagh	-қаҳтаӷ-
~–qaghte-	-2f5ns-	suddenly V		not used with bases ending in g or a full vowel; see also -aghte-; aanqaghtuq ‘he suddenly went out’ (from aane- ‘to go out’); kumlatqaghtuq ‘it suddenly got cold’ (from kumlate- ‘to get cold’); iitqaghtuq ‘he suddenly came in’ (from itegh- ‘to come in’); allnguqaghtuq ‘it suddenly dove’ (from allngugh- ‘to dive’); kaatqaghtuq ‘he or it suddenly caught up’ (from kaate- ‘to arrive’); nekefqaghtuq ‘he jumped up suddenly’ (from nekeve- ‘to stand’); kaapqaghtuq ‘he jabbed himself with something’ (from kaape- ‘to poke’)													to suddenly V						~–qaghte-	qaghte	qaghte	-қаҳты-
-qaghte-				see ~–kaghte-													to get N; to catch N						~–kaghte-	qaghte	qaghte	
-qanigh-				see ~–kanigh-													to be rather V; to be fairly V; to V more and more						~–kanigh-	qanigh	qanigh	
+qaq	-2f2	one that is V or that is to the N		used with descriptive verb bases ending in a vowel, and also with positional bases (not productively);  uqigtuqaq ‘heavy thing’ (from uqigtu- ‘to be heavy’); qaasqaq ‘highest part of beach’ (from qayae ‘surface’); saniqaq ‘one’s side’ (from sani ‘side’); occurs in other postbases: examples:  -yuqaq ‘person who is good at V-ing’; -tuqaq ‘person or thing that has lots of N or that V-s a lot’													one that is V; one to the N		pb PE qa3				+qaq	qaq	qaq	-қақ
-qaq				see ~–(g)kaq													one that has V-ed; one that has been V-ed						~–(g)kaq	qaq	qaq	
-qaq				see +kaq													raw material for N or for V-ing; something to be V-ed						+kaq	qaq	qaq	
-qaqe-				see @~–(g)kaqe-													to have V-ed (him/it)						@~–(g)kaqe-	qaqe	qaqe	
-qaqsagh-				see ~–(g)kaqsagh-													to have V-ed fruitlessly; to have V-ed in vain; to have V-ed but. . . .						~–(g)kaqsagh-	qaqsagh	qaqsagh	
–qaqu-	-2f2e-	intermittently V		aliiqaquuq ‘the weather is clearing intermittently’ (from aliigh- for weather to clear’); nuukaquuq ‘it surfaced intermittently’ (from nuug- ‘to surface’)													to V intermittently				from Willem de Reusse		–qaqu-	qaqu	qaqu	-қақу-
-qataghagh-				see ~–kataghagh-													to finally V despite a feeling that it wouldn't happen; to V at last						~–kataghagh-	qataghagh	qataghagh	
-qaayagh-				see ~–(g)kaayagh-													to have V-ed fruitlessly; to have V-ed in vain; to have V-ed but. . . .						~–(g)kaayagh-	qayagh	qxyagh	
-qayuk				see ~–(g)kayuk													one that V-s readily; one who is able to V						~–(g)kayuk	qayak	qayak	
-qayugu-				see ~–(g)kayugu-													to be able to V; can V						~–(g)kayugu-	qayugu	qayugu	
-qayugughte-				see ~–(g)kayugughte-													to become able to V						~–(g)kayugughte-	qayugughte-	qayugughte-	
-qe-1																	have as one’s N; object is subject’s N; have N						~–ke-1	qe1	qe1	
-qe-2				see at ~–ke-2													to feel V toward; to V toward						~–ke-2	qe2	qe2	
-qegtaq				see at ~–kegtaq													one with good N						~–kegtaq	qegtaq	qegtaq	
-qegte-				see ~–kegte-													to have good N						~–kegte-	qegte	qegte	
-qenghhaq*				see ~–kenghhaq*													newly made or newly acquired N						~–kenghhaq*	qenghhaq	qenghhaq	
-qestagh-				see ~–kestagh-													to V ahead of time; to V patiently; to V slowly; to V nonchalantly						~–kestagh-	qestagh	qestagh	
-qetagh-				see ~–ketagh-													to tend to V by one’s disposition						~–ketagh-	qetagh	qetagh	
~–qiinagh-	-27yf4-	just V		not used with vowel-ending bases with which -(a)ghesnagh- (q.v.) is used instead; qavaqiinaghtuq ‘he's just sleeping’ (from qavagh- ‘to sleep’); neqiinaghtuq ‘he's just eating’ (from negh<e>- ‘to eat’); laakiinaghtuq ‘he's just digging’ (from laag- ‘to dig’)	only V	now (V just ~)											to just V; to only V; to V just now		< -qagh-(ng)inagh-; pb PY qa(C)ina3-				~–qiinagh-	qinagh	qxnagh	-қӣнаӷ-
–qinghaq	-2by4f2	thing of N		Chukotkan (only?); aghveqinghaq ‘whale sinew or something else from a whale’ (from aghveq ‘whale’)									also SLI?				thing of N						–qinghaq	qinghaq	qinghaq	-қинӷақ
~–qite-	-2bns-	encounter N or V		probably non-productive; umuqituq ‘she ran into a thick part (while sewing skin)’ (from umu- ‘to be thick’); sikuqituq ‘he encountered ice’ (from siku ‘ice’); nunaqituq ‘it ran aground’ (from nuna ‘land’); qasqituq ‘he or it reached the top’ (from qayae ‘(top) surface’); qulqituq or quulqituq ‘he or it reached the top or an upper level’ (from qulae ‘upper  part’)													to encounter N or V						~–qite-	qite	qite	-қиты-
–qliq*	-2k]b2	far (thing that is ~ to the N direction)		used with positional bases, and the like; sivuqliq ‘frontmost one’ (from sivu ‘front’); tungeqliq ‘follower’ (from tungae ‘direction (of possessor)’); Imaqliq ‘Big Diomede’ (lexicalized, from imaq ‘ocean’); kangiqliq ‘thing at inner end, molar’ (from kangiq ‘indentation’); nalleqliq ‘relative, kinsman’ (from nallae ‘that which corresponds in time or space’); tunuqliq ‘back one’ (from tunu ‘back’); uviqliq ‘neighbor, relative, kinsman’ (from root uvi- as in uvin ‘yard around house’ and uvinek ‘human skin’); uyuqliq ‘younger one’ (from root uyugh- as in uyughaq ‘younger sibling’); iqukliq ‘one at the end’ (from iquk ‘end’); nuyekliq ‘older or oldest one’ (from an unidentified root)													thing that is far to the N direction		pb PE -qli3				–qliq*	qliq	qliq	-қльиқ
–qragh-	-2if4-	fancy V-ing		kakiqraghtuq ‘she did fancy sewing’ (from kaki- ‘to sew’); negikraghtuq ‘she cut out pieces of skin according to a pattern’ (from negig- ‘to cut a skin or material for sewing’)	new (V a ~ thing)												to do fancy V-ing; to V a new thing						–qragh-	qragh	qragh	-қшаӷ-
-qrak				see –krak													small N; thing like N						–krak	qrak	qrak	
–qraq	-2if2	fancy piece of of N		igaqraq ‘trim’ (from igaq ‘design, tattoo’); tagneqraq ‘dot, dark spot, mole on skin’ (lexicalized from tagneq ‘darkness’); agaqraq ‘peg or hook for hanging things’ (lexicalized from postural root agagh- ‘hang(ing)’)													fancy piece of of N						–qraq	qraq	qraq	-қшақ
–qrug-	-2ieu-	troublesome (for ~ one to V)		Amigkun emta whanga qineghsuukiqrugyalghiinga nateghmi qama Maynga guitaraaqeftuq, elngaatall. ‘And when I – getting into things as I tend to do – peeked in, in there in the porch Maynga was playing away on the guitar.’ (from qineghte- ‘to  peek in’ with an intervening postbase) (PANGEGH. 36)									examples needed				for troublesome one to V						–qrug-	qrug	qrug	-қшуг-
–qruk	-2ier	good old N		yukruk ‘good old person’ (from yu<u>k ‘person’); angyaqruk ‘good old boat’ (from angyaq ‘boat’); anuqeqruk ‘good old wind’ (from anuqae ‘wind’); ellngaqruk ‘he (being how he is)’ (from ellnga ‘he’); Aghnaghaat atateng akisimaaqegkangit, Umiilguqruk, kitum kakilleqeftagu? ‘The girls answered their father, (saying) “lousy Umiilgu, who would ever sew for him?”’ (UNGAZ. UNGIP. 44)	bad old N	troublesome N							find out more about the meaning				good old N; bad old N (paradoxically); troublesome N						–qruk	qruk	qruk	-қшук
-qsagute-				see –ksagute-													to acquire as one's N    						–ksagute-	qsagute	qsagute	
~+(q/t)uute-	-ø2-nπ8ns-	group (V as a ~)		takes plural endings only; aqumuutut ‘they all sat down together’ (from aqume- ‘to sit down’); neghuutut ‘they are eating’ (from negh<e>- ‘to eat’); nekevuutut ‘they all stood up’ (from nekeve- ‘to stand up’); t is used with consonant-ending bases; aglaghtuutut ‘they left as a group’ (from aglagh- ‘to leave’); pinaghtuutut ‘they (rivers, etc.) melted (at the same time)’ (from pinagh- ‘to melt’); imightuutiit ‘they (acting at the same time) filled them’ (from imigh- ‘to fill’); q is used with te ending bases, the te being deleted in some case, retained in others (not following a clear pattern, though perhaps only  t(e) from a postbase is deleted); kaatquutut ‘they arrived together’ (from kaate- ‘to arrive’); pellghuquutiit ‘they put aside shares for them’ (from pellghute- ‘to put aside shares for someone’); tagiquutiit ‘they (acting at the same time) brought them in’ (from tagite- ‘to bring/take in’)	together (V ~)												to V as a group; to V together						~+(q/t)uute-	qtute	qtxte	-(қ-т)ӯты-
?qu-1	-2e-¡	hunt N		tungtuquuq ‘he's hunting caribou’ (from tungtu ‘caribou’); unkusequuq ‘he checked his traps’ (from unkusae ‘trap’); lluuquuq ‘he is hunting with a sling’ (from lluu ‘sling’)	hunt with (using) N												to hunt N; to hunt with (using) N						?qu-1	qu1	qu1	-қу-1
–qu-2	-2e-™	repeatedly V (hit)		used with verbs dealing with “hitting”; qugaquuq ‘it is pecking away at something’ (from qugagh- ‘to peck’); repaquuq ‘he is hammering repeatedly’ (from repa- ‘to hit with a hammer’); tuutaquuq ‘he’s stepping lightly and repeatedly; a gentle rain is falling’ (from tuute-1 ‘to step’ and an intervening postbase); retwhaqwaat ‘they are repeatedly bombarding it’ (from retwha- ‘to bombard’)													to repeatedly V (hit)						–qu-2	qu2	qu2	-қу-2
@qugh-	-2e4-	all (V ~ things available)		used only with bases that end in te which is then dropped; kagimqughaa ‘he crushed it completely’ (from kagimte- ‘to crush’); kaaguqughtuq ‘he struck everything’ (from kaagute- ‘to strike’); ayemqughaa ‘he broke it to pieces’ (from ayemte- ‘to break’); aafqughaa ‘he divided it completely’ (from aafte- ‘to divide’); cf. ?ugh-	completely V												to V all things available; to V completely		pb PE (C)u3-				@qugh-	qugh	qugh	-қуӷ-
