CSY word (Lat. orth.)	CSY word (Cyrillic)	CSY word (Cyr. orth.)	combined English gloss	Eng. gloss 1	Eng. gloss 2	Eng. gloss 3	Eng. gloss 4	ex'ples, etym, etc.	combined Russian gloss	derived forms	queries, etc.	PE (PY) source	Sib. source code	symantic code	alphabetization field A	alphabetization field B
nayeqerregagh-	наӥықышыгаӷ-	yfqs2sisuf4-	to stay closeby	stay closeby				qepghaannaluni tamaa yuuk nayeqerregaataquq luuraq qepghaqalinnayukangisteng ‘the men are hanging around in case they get jobs’				< nayugh-?-	CK A & W 60		nayeqerregagh-	nayeqerregagh-
naayghaleketaaq	нāӥӷалыкытāқ	y6q4fksrsn62	small hill with large rocks	hill, small, with large rocks				Chukotkan (R)				< naayghaq-?-ketaaq	CK Rub 347		nayghaleketaq	nxyghaleketxq
Nayghapaget	Наӥӷапагыт	Yfq4fgfusn	Myghapowit Mtn. (and Niykhapakhit Lake) on St. Lawrence Is.	Myghapowit Mtn. on St. Lawrence Is.	Niykhapakhit Lake and Myghapowit Mtn. on St. Lawrence Is.			see Map 6 in Appendices				< nayghaq(> naayghaq)-?-plural			Nayghapaget	Nayghapaget
Nayghapak1	Наӥӷапак1	Yfq4fgfr¡	small hill east on coast from Naskak Camp (Nasqaq)  on St. Lawrence Is.	Naskak Camp (Nasqaq) (small hill east on coast from ~ on St. Lawrence Is.)				see Map 4 in Appendices; cf. naayghaq ‘mountain’				< nayghaq(> naayghaq)-?			Nayghapak1	Nayghapak1
Nayghapak2	Наӥӷапак2	Yfq4fgfr™	mountain behind Niyghapak Pt. at the eastern end of St. Lawrence Is.	Niyghapak Pt. at the eastern end of St. Lawrence Is. (mountain behind ~)				see Map 4 in Appendices				< nayghaq(> naayghaq)-?			Nayghapak2	Nayghapak2
naayghaq	нāӥӷақ	y6q4f2	mountain	mountain						naayghiinaq		from Chukchi &e!n0 ‘mountain’		14	nayghaq	nxyghaq
Naayghaq	Нāӥӷақ	Y6q4f2	Gambell or “Sevoukuk” Mountain	Gambell Mountain	Sevoukuk Mountain			see Map 7 in Appendices				< naayghaq		14	Nayghaq	Nxyghaq
naayghiinaq	нāӥӷӣнақ	y6q47yf2	northwest	northwest								< naayghaq-inaq	SLI cur. man. 19		nayghinaq	nxyghxnaq
Nayghwaaq	Наӥӷӱāқ	Yfq4162	Mugum Peak on St. Lawrence Is.	Mugum Peak on St. Lawrence Is.				see Map 4 in Appendices							Nayghwaq	Nayghwxq
nayiq	наӥиқ	yfqb2	hollow area under the surface of the ground or ice; crevice	hollow area under the surface of the ground or ice	crevice			sigugneq sama ifkaannaghqwaamaa nayiighllagluni ayuquq ‘the ice edge is dangerous, one can fall off it because it is hollow’; Kayunnaghaquq iqanengenaaghmeng nayiitni taan’gani qalmesani. ‘One can catch sculpins, arctic (staghorn) sculpins, there in the reefs in their crevices.’ (AKINGQWAGH. 22); Anigulluglluni lliighyalghiimi taakut nayiita akeleghraagha meghaangluni, tamaaken meqegkat. ‘When the snow became soft, getting that way, the area in the middle of those crevices got water.’ (SIVUQ. NANGAGH. 2:120); cf. nayug-, and nayuq					CK A & W 60		nayiq	nayiq
nayug-	наюг-	yf/u-	to skin an animal (or an organ such as a stomach) starting at the mouth and doing it in such a way that the skin is not split	skin an animal (or an organ such as a stomach) starting at the mouth and doing it in such a way that the skin is not split								PE nayu!-			nayug-	nayug-
nayugh-	наюӷ-	yf/4-	to stay with; to tend; to watch over; to guard; to babysit	stay with	tend	watch over	babysit	nayughaa ‘he is tending her’ / nayughiiq ‘he is tending someone’				PE nayu3-			nayugh-	nayugh-
nayuq	наюқ	yf/2	site; position	site	position			Chukotkan (R); questioned; cf. nayiq	vtcnjgjkj;tybt		check; sounds totally new		Rub. 369		nayuq	nayuq
nayute-	наюты-	yf/ns-	to close in around (of ice)	close in around (of ice)				Chukotkan (R); sikum nayusimaa angyaghpak ‘the ice closed in around the ship’					CK Rub 369		nayute-	nayute-
nayvagh-	наӥваӷ-	yfqdf4-						root; > nayvaghaq, naayvaq				PE nanva3			nayvagh-	nayvagh-
naayvagh-	нāӥваӷ-	y6qdf4-	to freeze (of lakes)	freeze (of lakes)								PE nanva3			nayvagh-	nxyvagh-
nayvaghaq	наӥваӷақ	yfqdf4f2	pond	pond								< nayvaq(> naayvaq)-ghaq			nayvaghaq	nayvaghaq
Nayvaghaat	Наӥваӷāт	Yfqdf46n	lakes and ponds south of Troutman Lake next to Gambell; Ninivahut Lake and other nearby small lakes	Troutman Lake (lakes and ponds south of ~ next to Gambell)	Ninivahut Lake and other nearby small lakes			literally, ‘little lakes’; see Map 7 in Appendices				< nayvaq(> naavyaq)-ghaq-plural			Nayvaghat	Nayvaghxt
Naayvaghllak	Нāваҳльяк	Y6df5k]zr	Koozata Lagoon on St. Lawrence Is.	Koozata Lagoon on St. Lawrence Is.				literally, ‘large lake’; see Map 5 in Appendices				< naayvaq-ghllak			Nayvaghllak	Nxyvaghllak
Naayvaghpak	Нāӥваҳпак	Y6qdf5gfr	Niyrakpak Lagoon on St. Lawrence Is.	Niyrakpak Lagoon on St. Lawrence Is.				see Map 4 in Appendices				< naayvaq-ghpak			Nayvaghpak	Nxyvaghpak
Naayvaghvik	Нāӥваӷвик	Y6qdf4dbr	October	October				literally, 'time of freezing of lakes'; also given in one source as September				< naayvagh-vik			Nayvaghvik	Nxyvaghvik
Naayvam kangii	Нāӥвам каңӣ	Y6qdfv rf37	site at western end of  Koozata Lagoon on St. Lawrence Is.	Koozata Lagoon on St. Lawrence Is. (site at western end of ~)				see Map 4 in Appendices		xxxk		< Naayvaq-relative + kangiq-possessed			Nayvam Kangi	Nxyvam Kangx
naayvaq	нāӥвақ	y6qdf2	lake	lake						naayviinaq		< nayvagh-			nayvaq	nxyvaq
Naayvaq1	Нāӥвақ1	Y6qdf2¡	Nayvak Lake just west of Old Chaplino (Ungaziq) in Chukotka	Nayvak Lake just west of Old Chaplino (Ungaziq) in Chukotka	Old Chaplino (Ungaziq) in Chukotka [Nayvak Lake just west of ~]			see Map 3 in Appendices				< naayvaq			Nayvaq1	Nxyvaq1
Naayvaq2	Нāӥвақ2	Y6qdf2™	Troutman Lake next to Gambell	Troutman Lake next to Gambell				see Map 2 in Appendices				< naayvaq			Nayvaq2	Nxyvaq2
naayviinaq	нāӥвӣнақ	y6qd7yf2	south-southeast	south-southeast				questioned				< naayvaq-(ng)inaq			nayvinaq	nxyvxnaq
nazi-	нази-	yfpb-	to remove hair from and scrape reindeer skin	remove hair from and scrape reindeer skin	scrape reindeer skin after removing hair					> nazikaq					nazi-	nazi-
nazigh-	назиӷ-	yfpb4-						root; > nazighaq, nazisungaq				PE nayyi3			nazigh-	nazigh-
Nazighaghsiq	Назиӷаҳсиқ	Yfpb4f5cb2	February	February				literally, ‘time (?) of ring seals’; also given in various sources as January-February, February, February-March, March, and April				< nazighaq-siq			Nazighaghsiq	Nazighaghsiq
nazighaq	назиӷақ	yfpb4f2	long-haired ring seal (Phoca hispida)	ring seal, long-haired	Phoca hispida (ring seal) long haired	seal (long-haired ring ~)				; > nazighaghsiq		< nazigh-ghaq			nazighaq	nazighaq
nazikaq	назикақ	yfpbrf2	dehaired and scraped reindeer skin	reindeer skin, dehaired and scraped				cf. nazigh-							nazikaq	nazikaq
nazisungaq	назисюңақ	yfpbc/3f2	short-haired ring seal (Phoca hispida)	ring seal, short-haired	Phoca hispida (ring seal) short-haired	seal (short-haired ring ~)						< nazigh-PY cu&aq			nazisungaq	nazisungaq
nefkagh-	ныфкаӷ-	ysarf4-	to watch for a seal at its breathing hole	watch for a seal at its breathing hole				Tamaana yuuk naghughqughluku awalighpigaaghllutek nefkaghaqelghiik. ‘But, instead of staying together with them, they went way ahead of the others and sigugneq sama ifkaannaghqwaamaa nayiighllagluni ayuquq ‘the ice edge is dangerous, one can fall off it because it is hollow’; Kayunnaghaquq iqanengenaaghmeng nayiitni taan’gani qalmesani. ‘One can catch sculpins, arctic (staghorn) sculpins, there in the reefs in their crevices.’ (AKIINGQWAGH. 22)							nefkagh-	nefkagh-
nefku	ныфку	ysare	meat hung outside to dry	meat hung outside to dry								PE n0vku			nefku	nefku
nefku-	ныфку-	ysare-	to hang meat to dry	hang meat to dry				nefkuuq ‘he is hanging meat to dry’; nefkwaa ‘he is hanging it to dry’ /							nefku-	nefku-
nefkuli-	ныфкули-	ysarekb-	to prepare meat for drying	prepare meat for drying				nefkuliiq ‘he is preparing meat for drying’; nefkulii ‘he is preparing it’ /				< nefku-li-			nefkuli-	nefkuli-
nefkuuraq	ныфкӯрақ	ysar8hf2	dried meat	dried meat	meat, dried							< nefku-?			nefkuraq	nefkxraq
nefkutaq	ныфкутақ	ysarenf2	pole used to hang meat to dry	pole used to hang meat to dry								< nefku-(u)taq	CK Rub 396		nefkutaq	nefkutaq
nefsukaghlleq	ныфсюкаҳльық	ysac/rf5k]s2	slush ice temporarily stuck at edge of fast ice	slush ice temporarily stuck at edge of fast ice	ice (slush ~  temporarily stuck at edge of fast ice)			cf. neve-							nefsukaghlleq	nefsukaghlleq
nefteghqe-	ныфтыҳқы-	ysans52s-	to assemble; to put together	assemble	put together			nefteghquq ‘he assembled something’; nefteghqaa ‘he assembled it’ / kakisik nefteghqughaak ‘he put the sewing machine together’				< neftegte-ghqe2-			nefteghqe-	nefteghqe-
neftegte-	ныфтыхты-	ysans[ns-	to fasten; to hang up; to put in place	fasten	hang up	put in place		neftegtaa ‘he fastened it, put it in place’ / Igaqegkanka minglekun neftegtanka. ‘I put my pictures on the wall.’ (SLI JR. DICT. 116); cf. neve-							neftegte-	neftegte-
negagh-	ныгаӷ-	ysuf4-	to snare	snare								PE n0!a3			negagh-	negagh-
negaghaq	ныгаӷақ	ysuf4f2	snare made of baleen for catching ducks	snare made of baleen for catching ducks								< negaq-ghaq			negaghaq	negaghaq
negaghpak	ныгаҳпак	ysuf5gfr	fishnet	fishnet								< negaq-ghpak			negaghpak	negaghpak
negaghpawaaq	ныгаҳпаӱāқ	ysuf5gf162	grating (or lattice) inside (under?) kettle	grating (or lattice) inside (under?) kettle				Chukotkan (R)	htitnrf dyenhb xfqybrf		looks good, check for what exactly this lattice or grating is	< negaq-ghpak-(ghw/ngw/w)aaq	Rub. 383		negaghpawaq	negaghpawxq
negaq	ныгақ	ysuf2	snare; bird snare	snare	bird snare							PE n0!a3			negaq	negaq
negeve-	ныгывы-	ysusds-	rip open (of seam)	rip open (of seam)				puvitangi negevaghaghsimalghiit ilamineng pilluwaghluni ‘the ruff on his hood ripped open when he fought with his friend’				PE 0!um0(t)- or 0!0m0(t)-	CK A & W 60		negeve-	negeve-
negh<e>-	ныӷ(ы)-	ys4øsπ-	to eat	eat				neghtuq ‘he ate’; neghaa ‘he is eating it’ / sameng neghsin? ‘what did you eat?’; neghaquq ‘he is eating; he eats’; neghellequq ‘he will eat’; neghegkan ‘when he eats’; neghelta ‘let’s eat’; neghefqiita ‘don’t eat them’; in some respects this base acts as if it were negh- (as in the examples with neghtuq and neghsin above) while in other respects it acts as if it were neghe- ; cf. megh<e>; cf. neneq		xxxe		PE n030-			negh<e>-	negh<e>-
neghagte-	ныӷахты-	ys4f[ns-	to drain (overly full lake going down)	drain (overly full lake going down)				naayvam sikunga suflughragtekuni neghaglleqaa ‘when the ice in the lake melts, it will drain out’; naayvat neghagtaqii ‘the lakes are draining out’					CK A & W 60		neghagte-	neghagte-
neghaali-	ныӷāли-	ys46kb-	to slow or die down (of person, event, occurrence, etc.)	slow down (of person, event, occurrence, etc.)	die down (of person, event, occurrence, etc.)			eslallugiisan kiiwem maaqelleghqek neghaaliik ‘when there wasn’t any more rain, the flow of the river slowed down’; qepghalghiit neghaalingigatngwaaghtut ‘those working haven’t slowed down at all’					CK A & W 60		neghali-	neghxli-
neghesta	ныӷыста	ys4scnf	parasite	parasite				Chukotkan (R); = neghista				<  negh<e>-(s)ta	Rub 385		neghesta	neghesta
Neghesti	Ныӷысти	Ys4scnb	Thanksgiving (holiday)	Thanksgiving (holiday)				Neghestimi tamaghhaghmi neqenghaghqegkayuk. ‘On Thanksgiving Day everyone feasted.’ (SLI JR. DICT. 123)				< negh<e>-?-			Neghesti	Neghesti
neghigh-	ныӷиӷ-	ys4b4-	to have happened long ago	happened (have ~ long ago)	long ago (have happened ~)			used mainly with transitive subordinative endings; neghighluku piiqsalghiikut ‘a long time ago we used to do this’; Iteghyaghaam  Anagutaghmun  neghighluku  apellgha ‘told long ago by Iteghyaghaq to Anagutaq’ (SIVUQ. NANGAGH. 3:222); Neghighluku sangwaat yuget naken kaaanneghata maakumiingungilnguut aqelqat. Sivuqam igleghneghani tamaakut aqelqat kaanneghata nangiighyaghqaawaqelghiit, iknaqetulngi, sukatulngi. ‘Long ago whenever some people from anywhere, not local people, they were visitors. In accordance with the custom of Gambell when they arrived there would be competions concerning strength and speed.’ (SIVUQ. NANGAGH. 1:48)							neghigh-	neghigh-
neghightaq	ныӷиҳтақ	ys4b5nf2	something or someone that goes way back; thing from long ago	back (something or someone that goes ~)	long ago (thing of ~)			Nakaa, nekaqa una neghightaagunga una nekaqa whanga. ‘No, It’s my house; I am someone that has gone away, but this is my house, mine.’ (SIVUQ. NANGAGH. 2:266)							neghightaq	neghightaq
neghista	ныӷиста	ys4bcnf	parasite	parasite				Chukotkan (R);  = neghesta				< negh<e>-?-(s)ta	CK Rub 384		neghista	neghista
neghllugh-	ныҳльюӷ-	ys5k]/4-	to fall over head first; to topple over	fall over head first	topple			neghllughtuq ‘he or it fell over’ / neghllughngaaq ‘it has fallen over’; Qawaak tugunaqluku neghlluumaanga. ‘I fell into the water trying to take the bird.’ (SLI. JR. DICT. 117)							neghllugh-	neghllugh-
neghnapik	ныӷнапик	ys4yfgbr	king crab (Paralithodes camtschatica)	king crab	crab (king ~)	Paralithodes camtschatica						< neghnaq-pik			neghnapik	neghnapik
neghnaq	ныӷнақ	ys4yf2	crab	crab						; > neghnapik, neghnavreghaq		< negh<e>-naq			neghnaq	neghnaq
neghnavregaq	ныӷнаврыгақ	ys4yfdhsuf2	rock crab (Hyas lyratus or Hyas coarctatus ?)	rock crab	crab (rock ~)	Hyas lyratus or Hyas coarctatus		Esnamun kaalluni igleghsimaluni esghaamakanga esnami unguvalghii tepenghhaq neghnavregaghhaq. ‘When he got to the shore as he was going along he saw on the shore this live rock crab that had just drifted ashore.’ (AKIINGQWAGH. 15)				< neghnaq-vreghaq (?)			neghnavregaq	neghnavregaq
neghneghngwaagh-	ныӷнықңӱāӷ-	ys4ys23164-	to scent; to smell something (about animals)	scent	smell something (about animals)			Chukotkan (R)	xeznm xnj-k> øj ;bdjnys[π. y/[fnm. j,y/[bdfnm xnj-k>			< negh<e>-?-(ghw/ngw/w)aagh-	Rub. 385		neghneghngwagh-	neghneghngwxgh-
neghniimsugute-	ныӷнӣмсугюты-	ys4y7vceu/ns-	to snack	snack				qikmit siipneghmeng neghniimsugutaqut ‘the dogs are snacking on left over food’; qawaak esnemi sameng neghniimsuguteghllaguuq ‘birds are snacking on something at the coast’				< negh<e>-?-	CK A & W 61 CK		neghnimsugute-	neghnxmsugute-
neghpigaq	ныҳпигақ	ys5gbuf2	main living area	main living area				mangtegham neghpigaa ‘the house’s main living area’				< nae-pigaq			neghpigaq	neghpigaq
neghqe-	ныҳқы-	ys52s-	to feed (dogs, people, etc.)	feed (dogs, people, etc.)				neghqaa ‘he is feeding it or him’ / neghqiiq ‘he is feeding something or someone’; Aghhutanga tamaghhaan neghqaqanka qikminka. ‘I feed my dogs every day.’ (SLI JR. DICT. 118)				PY-S n03q0- (under PE n030-); < negh<e>-ghqe£-			neghqe-	neghqe-
neghqugh-	ныҳқуӷ-	ys52e4-	to have rheumatism; to have arthritis; to ache in the bones and/or joints	rheumatism (have ~)	arthritis (have ~)	ache in the bones and/or joints		neghqughtuq or neghqughaa ‘he has aching bones and joints’ / cf. neghqwaaq							neghqugh-	neghqugh-
neghqughruk	ныҳқуӷрук	ys52e4her	skeleton; very skinny person	skeleton	skinny person							< neghqwaaq-ruk			neghqughruk	neghqughruk
neghqun	ныҳқун	ys52ey	feed (for dogs or other animals)	feed (for dogs or other animals)								< neghqe-(u)n			neghqun	neghqun
neghqusi-	ныҳқуси-	ys52ecb-	cut up food for dogs	cut up food for dogs								< neghqe-(u)ta-i2	VK		neghqusi-	neghqusi-
neghqusitaq	ныҳқуситақ	ys52ecbnf2	dog food container	dog food container				used in the dual, neghqusitak, for one such container; neghqutkameng neghqusitak ulevaghaghtagka ‘I filled the dog food container full’				< neghqe-(u)n-li-(u)taq	CK A & W 61 CK 		neghqusitaq	neghqusitaq
neghqutkaq	ныҳқуткақ	ys52enrf2	feed (for dogs or other animals)	feed (for dogs or other animals)				= naghqutkaq				< neghqe-(u)n-kaq			neghqutkaq	neghqutkaq
neghqwaaghtaq	ныҳқӱāҳтақ	ys52165nf2	bone strip running the length of the keel of skin boat	bone strip running the length of the keel of skin boat								< neghqwaaq-taq1			neghqwaghtaq	neghqwxghtaq
neghqwaaq	ныҳқӱāқ	ys52162	bone; framing member (as of house)	bone	framing member (as of house)			= naghqwaaq				< negh<e>-kwaaq			neghqwaq	neghqwxq
neghsanghaq	ныҳсянӷақ	ys5czy4f2	rope made from seal skin	rope made from seal skin				Chukotkan (R)				< neghsaq-?	CK Rub 397		neghsanghaq	neghsanghaq
neghsapik	ныҳсяпик	ys5czgbr	adult ring seal (Phoca hispida)	ring seal, adult	seal, ring, adult	Phoca hispida (ringed seal) adult		Kamengllaghaqegkangit neghsapiget. Qazigyameng melqulighluku yuget ipigtuluku …. ‘They made (hunting) skin-boots from ringed seal (skin). People put spotted seal on the boot legs ….’ (SIVUQ. NANGAGH. 1:94)				< neghsaq-pik			neghsapik	neghsapik
neghsaq	ныҳсяқ	ys5cz2	seal	seal				cf. negh<e>-; = naghsaq							neghsaq	neghsaq
neghusiq	ныӷусиқ	ys4ecb2	dish; plate; meal	dish	plate	meal						< negh<e>-(u)siq			neghusiq	neghusiq
neghuva-	ныӷува-	ys4edf-						root; > neghuvate-, neghuvaghsagh-				PE  n03uv03- and n03uva3-			neghuva-	neghuva-
neghuvaghsagh-	ныӷуваҳсяӷ-	ys4edf5cz4-	to make soft and smooth	soft and smooth (make ~)								< neghuva-?-sagh-			neghuvaghsagh-	neghuvaghsagh-
neghuvate-	ныӷуваты-	ys4edfns-	to be soft	soft (be ~)				neghuvatuq ‘it is soft’; neghuvalnguq ‘soft thing’				< neghuva-te£-			neghuvate-	neghuvate-
neghyaghqangllagh-	ныӷьяҳқаңльяӷ-	ys4mz52f3k]z4-	to prepare food	prepare food	food (prepare ~)				ujnjdbnm tle			< neghyaghqaq-ngllagh-	Rub. 386		neghyaghqangllagh-	neghyaghqangllagh-
neghyaghqaq	ныӷяҳқақ	ys4z52f2	food	food								< negh<e>-yaghqaq			neghyaghqaq	neghyaghqaq
neghyu-	ныӷью-	ys4m/-	to hope; to expect	hope	expect			neghyuuq ‘he hopes for something’ /				PE n03yu(!)-			neghyu-	neghyu-
neghyugtaghagh-	ныӷьюхтаӷаӷ-	ys4m/[nf4f4-	to dream about something; to always rely on somebody	dream about something	rely on somebody			Chukotkan (R)	vtxnfnm j xtv-k>. gjcnjzyyj yfltznmcz yf rjuj-k>		check the postbases, also what is this ‘dream about’ ?	< neghyu-?-	Rub. 386		neghyugtaghagh-	neghyugtaghagh-
neghyuke-	ныӷьюкы-	ys4m/rs-	to hope concerning (it)	hope concerning (it)				neghyukaa ‘he hopes concerning him or it’ / neghyukaqa tagilleghqan ‘I hope that you will come’				< neghyu-ke2-			neghyuke-	neghyuke-
negifkaqu-	ныгифкақу-	ysubarf2e-	to appear (of thawed patches)	appear (of thawed patches)				Chukotkan (R)	gjzdkznmcz - j ghjnfkbyf[		check; what could this be related to???		Rub. 383		negifkaqu-	negifkaqu-
negig-	ныгиг-	ysubu-	to cut out a piece of material or skin; to tear out of someone’s hands	cut out a piece of material or skin	tear out of someone’s hands			negigaa ‘she cut it out’/ negigutuq ‘she cut out something’; negilleq ‘a cut out piece’; cf. negili					CK V & E 190 (2nd gloss)		negig-	negig-
negighqu-	ныгиҳқу-	ysub52e-	to cut out the various pieces needed to make something	cut out the various pieces needed to make something								< negig-qu2-			negighqu-	negighqu-
negikragh-	ныгикшаӷ-	ysubrif4-	to cut out a pattern	cut out a pattern								< negig-krak			negikragh-	negikragh-
negili	ныгили	ysubkb	neck opening of garment; collar	neck opening of garment	collar			cf. negig-				PE n0!ili3, n0!ila3			negili	negili
negilitaan	ныгилитāн	ysubkbn6y	trimming at the neck of a woman's hoodless garment	trimming at the neck of a woman's hoodless garment								< negili-?-(u)n			negilitan	negilitxn
negitelqwaaq	ныгитыльқāқ	ysubnsk]262	hollow area in collarbone	hollow area in collarbone				Chukotkan (R)					CK Rub 383		negitelqwaq	negitelqwxq
negitughqe-	ныгитуҳқы-	ysubne52s-	to gasp when food goes down slowly after swallowing	gasp when food goes down slowly after swallowing				tuufluni negitughquq ‘he swallowed and he is gasping because it is going down slow’; sangavek negitughqesin? ‘why are you gasping?’				PE n0!ituqa3-	CK A & W 61		negitughqe-	negitughqe-
negitughqwe- 	ныгитуҳқӱы-	ysubne521s-	to hiccup	hiccup				Chukotkan (R. V&E )	brfnm			PE n0!ituqa3-	CK V & E 66 Rub 383		negitughqwe- 	negitughqwe- 
Negsipa	Ныхсипа	Ys[cbgf	site on north shore of Koozata Lagoon	Koozata Lagoon (site on north shore of ~)				see Map 5 in Appendices							Negsipa	Negsipa
negugh-	ныгуӷ-	ysue4-	to go around an obstacle; to avoid	go around an obstacle	avoid			negughtuq ‘he went around something’; negughaa ‘he went around it, avoided him’ / neguutaa ‘he took it around something’				PE n0!u3-			negugh-	negugh-
neguqragh-	ныгуқшаӷ-	ysue2if4-	to force one’s way	force one’s way				Chukotkan (R); questioned	ghj,bhfnmcz 		check; there’s a semantic problem given the meaning of the postbase here	< negugh-qragh-	Rub. 384		neguqragh-	neguqragh-
neguya	ныгуя	ysuez	ringworm; skin infection	ringworm	skin infection							PE n0!uya3			neguya	neguya
nekaghqaq	ныкаҳқақ	ysrf52f2	building site; place for something to be located	building site	place for something to be located 				vtcnj. ghtlyfpyfxtyyjt lkz gjcnhjqrb xtuj-k>> cnhjqgkjoflrf		sounds okay, but should be checked	< nae -kaghqaq	Rub. 386		nekaghqaq	nekaghqaq
nekefqaghte-	ныкыфқаҳты-	ysrsa2f5ns-	to jump up; to take off suddenly	jump up	take off suddenly				dcrjxbnm. cjhdfnmcz c vtcnf 		sounds good	< nekeve-qaghte-	Rub. 387		nekefqaghte-	nekefqaghte-
nekefte-	ныкыфты-	ysrsans-	to build	build				nekeftaa ‘he built it’ / nekeftaat igaghvik ‘they built the school’				< nekeve-te1-			nekefte-	nekefte-
nekeg-	ныкыг-	ysrsu-	put in place; having a good home; quieted down 	put in place	have a good home	quieted down		postural root;  nekegtuq ‘he/it got into its appropriate place’; nekegtaa ‘he put it in its appropriate place’; nekegngaaq ‘it is in its appropriate place’; Nekeggnakesi wayaq igaasim iqugan inglungakun scotch tape-meng 1-1/4 inch piizngaan. ‘Fasten the wire to the end of the pencil leaving about 1-1/4 inches protruding.’ (SULUWET 25)				< nae-kegte-			nekeg-	nekeg-
nekeggmelleq	ныкыхмыльық	ysrs[vsk]s2	peace	peace				in Bible translation				< nekegte-mete-lleq			nekeggmelleq	nekeggmelleq
nekeggneqigte-	ныкыхньықихты-	ysrs[y]s2b[ns-	to restore; to put back in the appropriate place	restore	put back in the appropriate place				djccnfyfdkbdfnm xnj-k.		check, but looks okay	< nekegte1-nqigte-	Rub. 387		nekeggneqigte-	nekeggneqigte-
nekegneghaq	ныкыгныӷақ	ysrsuys4f2	floor plan	floor plan	plan (floor ~)			mangtegham nekegneghaa ‘the plan of the house’				< nekeg-neq2-ghaq			nekegneghaq	nekegneghaq
nekegpagte-	ныкыхрахты-	ysrs[hf[ns-	to creak; to change for the better	creak 	change for the better			Mangteghaq anuqlim nekegpagtaghqaa. ‘The wind made the house creak.’ (SLI JR. DICT. 119); Unaaghniinenq anuqeghllak nekegpagtaa. ‘The wind died down from the way it was this morning.’ (SLI JR. DICT. 119)				< nae-kegte-pagte-			nekegpagte-	nekegpagte-
nekegsiilliqe-	ныкыхсӣльиқы-	ysrs[c7k]b2s-	to worry; to play noisily	worry	play noisily			Chukotkan (R)	djkyjdfnmcz. ,tcgjrjbnmcz.    djpbnmcz		check	< nekegte-?-liqe- ?	Rub. 387		nekegsilliqe-	nekegsxlliqe-
nekeve-	ныкывы-	ysrsds-	to stand up	stand up				nekevuq ‘he stood up’ / nekevestaa (or nekeftaa) ‘he stood it up, made him stand up’				PE n0k0v0(t)-			nekeve-	nekeve-
nekevgha-	ныкывӷа-	ysrsd4f-	to be standing	standing (be ~)				nekevghaaq ‘he is standing’ /				< nekeve-?-			nekevgha-	nekevgha-
nekga-	ныкха-	ysr[f-	to calm down; to stop rushing	calm down	stop rushing			Chukotkan (V&E)	ecgjrfbdfncz. gthtcnfnm vtnfnmcz				CK V & E 154		nekga-	nekga-
nekginaq	ныкхинақ	ysr[byf2	powdery snow	powdery snow											nekginaq	nekginaq
nekgute-	ныкхуты-	ysr[ens-	to bring something to its place; to put away; to put in the proper place	bring something to its place	put away	put in the proper place		tamlagluta angyaghput nekgutaqaghputlu aghvenguughtut ‘we landed  and just as we put our boat away, they caught a whale’				< nekegte-(u)te-	CK A & W 61		nekgute-	nekgute-
nekleg-	ныкльыг-	ysrk]su-	to die down (of wind); to diminish (of a bad condition)	die down (of wind)	diminish (of a bad condition)			Anuqeghllak neklegtuq. ‘The strong wind is dying down.’ (SLI JR. DICT. 119); Ighneghhaghma unulqusiq qiilghwa neklegataaghaghtuq aghsan.’ My little boy’s coughing the whole night diminished when morning came.’ (SLI JR. DICT. 119)							nekleg-	nekleg-
nekreg-	ныкшыг-	ysrisu-	to hook as with a gaff	hook as with a gaff				nekregtuq ‘he hooked himself’; nekregaa ‘he hooked it’ / nekregiiq ‘he hooked something’; = nakreg-							nekreg-	nekreg-
nekrek	ныкшык	ysrisr	hook; gaff	hook	gaff			= nakrek				PE n0!ci!			nekrek	nekrek
nekrewaagh-	ныкшыӱāӷ-	ysris164-	to crochet	crochet								< nekreg-aagh-			nekrewagh-	nekrewxgh-
nekwaagh-	ныкӱāӷ-	ysr164-	to be settled down	settled down (be ~)								< nae-?-			nekwagh-	nekwxgh-
nelegte-	нылыхты-	ysks[ns-	to put in place securely	put in place securely								< nae-?-			nelegte-	nelegte-
nelgughte-	нылгуҳты-	yskue5ns-	to never move once one has stopped	never move once one has stopped				nanuq malighqughluku tagtalmi paghyughyami nelgughtuq ‘I ran after the polar bear, and all of a sudden it got tired and stopped never to go any further’					CK A & W 61		nelgughte-	nelgughte-
neli-	ныли-	yskb-	to build; to establish a home	build	establish a home	home (establish a ~)		neliiq ‘he built a house’; nelii ‘he built a house for her or made it into a house’ /				< nae-li-			neli-	neli-
neliite-	нылӣты-	ysk7ns-	to take up residence at (it, a house)	take up residence at (it, a house)	residence (take up ~ at (it, a house))			neliitiit ‘they have made it their home’				< nae-liite-	SLI JR. DICT. 119		nelite-	nelxte-
nellaaghqe-	нылья̄ҳқы-	ysk]952s-	to drive out of one's home	drive out of one's home				nellaaghqaa ‘he drove it or him from its or his home’ /				< nae-?-			nellaghqe-	nellxghqe-
nelliqe-	ныльиқы-	ysk]b2s-	to engage in unacceptable behavior	engage in unacceptable behavior	unacceptable behavior (engage in ~)			of children, generally				< nae-lluk-liqe-			nelliqe-	nelliqe-
